category,count
Finance & Investments,372
Manufacturing,324
Technology,314
Fashion & Retail,266
Food & Beverage,212
Healthcare,201
Real Estate,193
Diversified,187
Energy,100
Media & Entertainment,91
Metals & Mining,74
Automotive,73
Service,53
Construction & Engineering,45
Logistics,40
Sports,39
Telecom,31
Gambling & Casinos,25
